emotion,word
anger,disagree
anger,disagreeing
anger,disagreement
anger,disallowed
fear,disappear
anger,disappoint
anger,disappointed
sadness,disappointing
disgust,disappointment
sadness,disapproval
anger,disapprove
anger,disapproved
anger,disapproving
anger,disaster
anger,disastrous
trust,disciple
fear,discipline
anger,disclaim
trust,disclosed
disgust,discoloration
disgust,discolored
sadness,discomfort
sadness,disconnect
sadness,disconnected
anger,discontent
disgust,discontinuity
anger,discord
fear,discourage
anticipation,discreet
anticipation,discretion
anger,discriminate
disgust,discriminating
anger,discrimination
anger,disdain
anger,disease
disgust,diseased
fear,disembodied
anger,disfigured
anger,disgrace
anger,disgraced
anger,disgraceful
anger,disgruntled
anger,disgust
anger,disgusting
sadness,disheartened
sadness,disheartening
anger,dishonest
disgust,dishonesty
anger,dishonor
anger,disillusionment
anger,disinformation
disgust,disingenuous
disgust,disintegrate
anger,dislike
anger,disliked
anger,dislocated
disgust,dismal
anger,dismay
disgust,dismemberment
anger,dismissal
anger,disobedience
anger,disobedient
anger,disobey
fear,disorder
anger,disparage
anger,disparaging
anger,disparity
sadness,dispassionate
sadness,dispel
anger,displaced
anger,displeased
disgust,displeasure
disgust,dispose
anticipation,disposed
anger,dispossessed
anger,dispute
anger,disqualified
sadness,disqualify
disgust,disregarded
anger,disreputable
anger,disrespect
anger,disrespectful
anger,disruption
disgust,dissection
anger,dissension
anger,disservice
anger,dissident
anger,dissolution
anger,dissonance
disgust,distaste
disgust,distasteful
disgust,distorted
anger,distracted
anger,distracting
sadness,distraught
anger,distress
fear,distressed
anger,distressing
anger,distrust
anger,disturbance
anger,disturbed
anger,disused
joy,ditty
trust,divan
surprise,divergent
surprise,diversion
anticipation,divination
anger,divorce
trust,doctor
trust,doctrine
trust,dogma
sadness,doldrums
sadness,dole
joy,doll
sadness,dolor
joy,dolphin
fear,dominant
anger,dominate
anger,domination
fear,dominion
trust,don
disgust,donkey
fear,doom
fear,doomed
anger,doomsday
fear,doubt
trust,doubtless
anticipation,dove
fear,downfall
trust,downright
sadness,drab
anticipation,draft
fear,dragon
anticipation,dread
anger,dreadful
disgust,dreadfully
sadness,dreary
disgust,drivel
disgust,drool
fear,drown
sadness,drugged
disgust,drunken
fear,dubious
anger,duel
sadness,dull
anger,dumps
disgust,dung
fear,dungeon
anger,dupe
anger,duplicity
trust,durability
trust,durable
anger,duress
anticipation,dutiful
fear,dwarfed
anger,dying
surprise,dynamic
disgust,dysentery
anticipation,eager
anticipation,eagerness
trust,eagle
anger,earthquake
trust,economy
anticipation,ecstasy
anticipation,ecstatic
fear,edict
anticipation,edification
anticipation,edition
trust,educational
fear,eel
trust,effective
anticipation,efficient
anger,effigy
disgust,egotistical
anger,egregious
anticipation,ejaculation
joy,elated
anger,elbow
trust,elder
trust,elders
trust,elect
trust,electorate
joy,electric
anticipation,elegance
joy,elegant
anticipation,elevation
anger,elf
anger,elimination
anticipation,elite
trust,elucidate
surprise,elusive
fear,emaciated
anticipation,emancipation
sadness,embarrass
fear,embarrassment
fear,embolism
anticipation,embrace
fear,emergency
trust,eminence
trust,emphasize
trust,employ
sadness,emptiness
trust,enable
trust,enablement
anticipation,enchant
joy,enchanted
anticipation,enchanting
joy,encourage
fear,encroachment
anger,encumbrance
trust,encyclopedia
anticipation,endanger
fear,endangered
anticipation,endeavor
disgust,endemic
anger,endless
fear,endocarditis
trust,endow
trust,endowment
disgust,enema
anger,enemy
anger,enforce
anticipation,engaged
joy,engaging
anticipation,engulf
fear,enigmatic
anticipation,enjoy
anticipation,enjoying
joy,enlighten
joy,enlightenment
joy,enliven
anger,enmity
anticipation,enroll
trust,ensemble
anger,enslaved
anger,entangled
joy,entertain
joy,entertained
anticipation,entertaining
anticipation,entertainment
anticipation,enthusiasm
anticipation,enthusiast
disgust,entrails
trust,entrust
anger,epidemic
trust,episcopal
sadness,epitaph
joy,equality
anger,eradicate
anger,eradication
fear,erase
anticipation,erotic
anticipation,errand
surprise,erratic
sadness,error
anger,erupt
anger,eruption
anger,escalate
anticipation,escape
fear,escaped
anger,eschew
trust,escort
trust,establish
joy,established
joy,esteem
fear,ethereal
fear,euthanasia
fear,evacuate
anger,evade
sadness,evanescence
fear,evasion
anticipation,eventual
anticipation,eventuality
joy,evergreen
sadness,evict
anger,eviction
trust,evident
anger,evil
anger,exacerbation
anger,exaggerate
anticipation,exalt
joy,exaltation
joy,exalted
fear,examination
anger,exasperation
anticipation,excavation
anticipation,exceed
anticipation,excel
disgust,excellence
joy,excellent
trust,exchange
anger,excitation
anger,excite
anticipation,excited
anticipation,excitement
anticipation,exciting
surprise,exclaim
disgust,excluded
sadness,excluding
disgust,exclusion
disgust,excrement
disgust,excretion
fear,excruciating
anger,execution
anger,executioner
trust,executor
sadness,exhausted
anticipation,exhaustion
trust,exhaustive
joy,exhilaration
anticipation,exigent
anger,exile
fear,exorcism
anticipation,expect
anticipation,expectancy
anticipation,expectant
anticipation,expectation
anticipation,expected
anticipation,expecting
joy,expedient
anticipation,expedition
anger,expel
trust,experienced
anticipation,experiment
trust,expert
trust,expertise
sadness,expire
trust,explain
anger,expletive
anger,explode
anticipation,explore
fear,explosion
anger,explosive
anticipation,expose
anger,expulsion
joy,exquisite
fear,exterminate
anger,extermination
sadness,extinct
anger,extinguish
fear,extrajudicial
anticipation,extricate
joy,exuberance
trust,eyewitness
trust,fabrication
trust,fact
trust,facts
trust,faculty
disgust,faeces
anger,failing
disgust,failure
anticipation,fain
fear,fainting
trust,fairly
anticipation,faith
trust,faithful
sadness,faithless
sadness,fall
anger,fallacious
sadness,falling
anger,falsehood
anger,falsification
disgust,falsify
disgust,falsity
fear,falter
trust,familiar
anticipation,familiarity
sadness,famine
fear,fanaticism
anticipation,fancy
anticipation,fanfare
fear,fang
fear,fangs
disgust,farcical
anticipation,farm
sadness,fasting
disgust,fat
anger,fatal
fear,fatality
anticipation,fate
trust,father
sadness,fatigued
disgust,fatty
sadness,fault
trust,faultless
anticipation,favorable
joy,favorite
anger,fear
fear,fearful
fear,fearfully
fear,fearing
fear,fearless
anticipation,feat
disgust,fecal
disgust,feces
anger,fee
sadness,feeble
anger,feeling
joy,felicity
sadness,fell
trust,fellow
fear,felon
anger,fenced
trust,fender
anticipation,ferment
anticipation,fermentation
anger,ferocious
anger,ferocity
anger,fervor
anticipation,festival
joy,festive
anticipation,fete
anger,feud
anger,feudalism
fear,fever
anger,fib
joy,fidelity
anger,fiend
anger,fierce
anticipation,fiesta
anger,fight
anger,fighting
trust,fill
disgust,filth
disgust,filthy
anticipation,finally
fear,fire
anger,firearms
trust,fireman
trust,firmness
anticipation,firstborn
anger,fits
anticipation,fitting
trust,fixed
disgust,flabby
sadness,flaccid
anger,flagrant
trust,flagship
trust,flange
joy,flattering
disgust,flatulence
sadness,flaw
disgust,flea
fear,fled
fear,flee
anger,fleece
disgust,flesh
anticipation,flinch
anticipation,flirt
anger,flog
fear,flood
disgust,flop
fear,flounder
fear,flu
anger,fluctuation
surprise,fluke
fear,flying
anger,foe
trust,follower
joy,fondness
joy,food
disgust,fool
anticipation,football
trust,footing
anger,foray
sadness,forbid
anger,forbidding
anger,force
fear,forced
anger,forcibly
anger,forearm
anticipation,foreboding
anticipation,forecast
fear,foreclose
joy,forefathers
fear,foreigner
anticipation,foresee
anticipation,foreseen
anticipation,foresight
anticipation,forewarned
anger,forfeit
fear,forfeiture
trust,forgiving
fear,forgotten
sadness,forlorn
trust,formality
trust,formative
fear,formidable
anticipation,forming
trust,formula
sadness,forsake
anger,forsaken
trust,fort
joy,fortitude
fear,fortress
anticipation,fortune
anger,foul
joy,found
fear,fragile
sadness,frailty
trust,framework
trust,frank
trust,frankness
anticipation,frantic
joy,fraternal
anger,fraud
anger,fraudulent
fear,fraught
sadness,frayed
disgust,freakish
joy,freedom
joy,freely
anger,frenetic
anger,frenzied
fear,fret
anger,friction
joy,friend
joy,friendliness
anticipation,friendly
joy,friendship
fear,frigate
fear,fright
fear,frighten
fear,frightened
anger,frightful
anticipation,frisky
joy,frolic
sadness,frown
anger,frowning
sadness,fruitless
anger,frustrate
anger,frustrated
anger,frustration
anger,fugitive
joy,fulfill
anticipation,fulfillment
trust,fully
anger,fuming
anticipation,fun
trust,fundamental
sadness,funeral
disgust,fungus
sadness,funk
anger,furious
anger,furiously
anger,furnace
anger,furor
sadness,furrow
anger,fury
trust,fuse
anger,fuss
disgust,fussy
sadness,futile
disgust,gaby
disgust,gag
trust,gage
anticipation,gain
anger,gall
anger,gallows
anticipation,gambler
anticipation,gambling
anger,gang
surprise,gape
disgust,garbage
joy,garden
disgust,garish
trust,garrison
fear,gash
surprise,gasp
fear,gasping
trust,gate
trust,gateway
trust,gauging
surprise,gawk
trust,gazette
disgust,gelatin
joy,gem
trust,general
anticipation,generosity
joy,generous
joy,genial
anger,gent
trust,gentleman
trust,gentry
trust,genuine
sadness,geriatric
anticipation,germ
anticipation,germination
disgust,ghastly
disgust,ghetto
fear,ghost
fear,ghostly
fear,giant
anger,gibberish
anticipation,gift
joy,giggle
trust,girder
anticipation,glad
fear,gladiator
joy,gladness
anger,glare
anger,glaring
joy,glee
anticipation,glide
anticipation,glimmer
disgust,glitter
sadness,gloom
sadness,gloomy
joy,glorification
anticipation,glorify
anticipation,glory
anticipation,glow
sadness,glum
disgust,glut
disgust,gluttony
anger,gnome
disgust,gob
disgust,goblin
anticipation,god
anger,godless
joy,godly
joy,godsend
anger,gonorrhea
disgust,goo
anticipation,good
anticipation,goodness
anger,gore
disgust,gorge
joy,gorgeous
anger,gory
trust,gospel
trust,govern
trust,governess
fear,government
trust,governor
anger,grab
anticipation,gradual
anticipation,graduation
trust,grammar
anticipation,grandchildren
trust,grandfather
anticipation,grant
anticipation,grasping
anger,grated
joy,gratify
anger,grating
joy,gratitude
